BEER NAME,BREWERY,FLAVOR,ABV%,CLASS ,IMAGE,CREATEDAT,UPDATEDAT
Dirty Beaches Tropical Wheat,Scofflaw,Wheat Ale,6.3,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560470/gentledrinkers/Dirty-Beaches-Tropical-Wheat.png,2021-02-25 8:51:41,2020-04-28 4:43:55
Discography Sour Collection,Southbound,Sour Ale,5.8,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560471/gentledrinkers/Discography-Sour-Collection.jpg,2021-02-26 8:51:41,2020-04-29 4:43:55
Dreams of Oblivion,Trimtab,IPA,7,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560471/gentledrinkers/Dreams-Of-Oblivion.jpg,2021-02-27 8:51:41,2020-04-30 4:43:55
Emergency Drinking Beer Watermelon,Wild Heaven,Ale,4.3,Low,https://res.cloudinary.com/cfuer12/image/upload/v1614560471/gentledrinkers/Emergency-Drinking-Beer-Watermelon.jpg,2021-02-28 8:51:41,2020-05-01 4:43:55
Even More Pecan Pie Jesus,Evil Twin,Stout,12,Very High,https://res.cloudinary.com/cfuer12/image/upload/v1614560471/gentledrinkers/Even-More-Pecan-Pie-Jesus.jpg,2021-03-01 8:51:41,2020-05-02 4:43:55
Ferryman,Orpheus,Imperial Stout,10.5,Very High,https://res.cloudinary.com/cfuer12/image/upload/v1614560471/gentledrinkers/Ferryman.jpg,2021-03-02 8:51:41,2020-05-03 4:43:55
Fistful of Cake,Monday Night,Imperial Stout,9,Very High,https://res.cloudinary.com/cfuer12/image/upload/v1614560471/gentledrinkers/Fistful-Of-Cake.png,2021-03-03 8:51:41,2020-05-04 4:43:55
Fruited Gose,Red Brick,Gose,4.7,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560472/gentledrinkers/Fruited-Gose.jpg,2021-03-04 8:51:41,2020-05-05 4:43:55
Gose,Westbrook,Gose,4,Low,https://res.cloudinary.com/cfuer12/image/upload/v1614560472/gentledrinkers/Gose.jpg,2021-03-05 8:51:41,2020-05-06 4:43:55
Half Gallon Milk Stout,Gate City,Stout,5.2,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560472/gentledrinkers/Half-Gallon-Milk-Stout.jpg,2021-03-06 8:51:41,2020-05-07 4:43:55
Honorary Girl Scout Sam O'Nut Cookies,Pontoon,Milk Porter,6.3,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560472/gentledrinkers/Honorary-Girl-Scout-Sam-ONut-Cookies.jpg,2021-03-07 8:51:41,2020-05-08 4:43:55
Hop Cocoa,Wicked Weed,Porter,6.5,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560472/gentledrinkers/Hop-Cocoa.png,2021-03-08 8:51:41,2020-05-09 4:43:55
Imperial Oaxaca Choca,New Realm,Imperial Stout,10.7,Very High,https://res.cloudinary.com/cfuer12/image/upload/v1614560473/gentledrinkers/Imperial-Oaxaca-Choca.jpg,2021-03-12 8:51:41,2020-05-13 4:43:55
Imperial Peach Gose,Southern Tier,Gose,8.3,Very High,https://res.cloudinary.com/cfuer12/image/upload/v1614560473/gentledrinkers/Imperial-Peach-Gose.jpg,2021-03-13 8:51:41,2020-05-14 4:43:55
Imperial Stout,Samuel Smith's,Imperial Stout,7,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560474/gentledrinkers/Imperial-Stout.jpg,2021-03-14 8:51:41,2020-05-15 4:43:55
Keylime Pie Gose,Westbrook,Gose,4,Low,https://res.cloudinary.com/cfuer12/image/upload/v1614560474/gentledrinkers/Keylime-Pie-Gose.jpg,2021-03-15 8:51:41,2020-05-16 4:43:55
"Kimmie, Yink, Holy Gose",Anderson Valley,Gose,4.2,Low,https://res.cloudinary.com/cfuer12/image/upload/v1614560474/gentledrinkers/Kimmie-Yink-Holy-Gose.jpg,2021-03-16 8:51:41,2020-05-17 4:43:55
King Coconut,Catawba,Porter,5.5,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560474/gentledrinkers/King-Coconut.png,2021-03-17 8:51:41,2020-05-18 4:43:55
Koko Buni,Creature Comforts,Milk Porter,6.5,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560474/gentledrinkers/Koko-Buni.jpg,2021-03-18 8:51:41,2020-05-19 4:43:55
Larry's Latest Sour Ale,Bell's,Sour Ale,5,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560474/gentledrinkers/Larrys-Latest-Sour-Ale.png,2021-03-19 8:51:41,2020-05-20 4:43:55
Limey Gose,Victory,Gose,4.7,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560475/gentledrinkers/Limey-Gose.png,2021-03-20 8:51:41,2020-05-21 4:43:55
Liquid Bliss,Terrapin,Porter,6,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560475/gentledrinkers/Liquid-Bliss.jpg,2021-03-21 8:51:41,2020-05-22 4:43:55
Marionberry Sour,Rogue,Sour Ale,6.5,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560475/gentledrinkers/Marionberry-Sour.jpg,2021-03-22 8:51:41,2020-05-23 4:43:55
Maverick and Gose,Second Self,Gose,4.4,Low,https://res.cloudinary.com/cfuer12/image/upload/v1614560475/gentledrinkers/Maverick-And-Gose.jpg,2021-03-23 8:51:41,2020-05-24 4:43:55
Mavis,Wild Heaven,Sour Ale,5.5,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560476/gentledrinkers/Mavis.jpg,2021-03-24 8:51:41,2020-05-25 4:43:55
Milk Stout,Duck Rabbit,Milk Stout,5.7,Med,https://res.cloudinary.com/cfuer12/image/upload/v1614560476/gentledrinkers/Milk-Stout-Duck-Rabbit.jpg,2021-03-25 8:51:41,2020-05-26 4:43:55
Milk Stout,Left Hand,Milk Stout,6,High,https://res.cloudinary.com/cfuer12/image/upload/v1614560476/gentledrinkers/Milk-Stout-Left-Hand.jpg,2021-03-26 8:51:41,2020-05-27 4:43:55
